txn_id,vendor_id,invoice_number,amount,invoice_date,payment_date,posting_ts,created_by,approved_by,approver_role,gl_account
TXN-00197,V-0023,INV-71925,32529.04,2025-01-20,2025-03-02,2025-01-20T12:58:00,U-11,U-09,manager,6200
TXN-01848,V-0050,INV-36422,4796.19,2025-09-19,2025-10-30,2025-09-19T14:10:00,U-09,U-19,junior,6300
TXN-01165,V-0021,INV-85455,26397.62,2026-01-12,2026-02-07,2026-01-12T18:00:00,U-07,U-09,manager,6200
TXN-00732,V-0006,INV-35971,1415.85,2025-11-12,2025-12-07,2025-11-12T13:19:00,U-06,U-20,senior,7100
TXN-02580,V-0010,INV-33522,6885.52,2025-06-14,2025-07-09,2025-06-14T18:02:00,U-04,U-05,manager,6200
TXN-01455,V-0003,INV-85292,5934.49,2025-02-09,2025-03-12,2025-02-09T11:36:00,U-05,U-15,manager,6100
TXN-00985,V-0059,INV-47214,651.36,2025-07-19,2025-08-20,2025-07-19T10:33:00,U-02,U-19,junior,6300
TXN-01172,V-0047,INV-49107,10273.12,2025-09-05,2025-10-03,2025-09-05T18:44:00,U-19,U-08,senior,7100
TXN-00048,V-0053,INV-15075,32527.01,2026-02-08,2026-03-22,2026-02-08T09:24:00,U-08,U-12,director,6200
TXN-00884,V-0003,INV-60997,300.17,2025-08-09,2025-09-15,2025-08-09T10:19:00,U-10,U-06,junior,7100
TXN-00083,V-0056,INV-97580,33305.54,2026-01-20,2026-02-23,2026-01-20T15:36:00,U-09,U-17,manager,6200
TXN-00626,V-0055,INV-14392,1071.19,2025-07-17,2025-08-24,2025-07-17T15:15:00,U-01,U-05,manager,6200
TXN-01891,V-0040,INV-89325,19146.21,2025-02-21,2025-03-12,2025-02-21T10:08:00,U-08,U-17,manager,6100
TXN-02181,V-0019,INV-56271,310.97,2025-10-31,2025-11-19,2025-10-31T14:12:00,U-17,U-13,senior,7100
TXN-01263,V-0058,INV-84603,267.24,2025-02-10,2025-02-25,2025-02-10T11:04:00,U-05,U-13,senior,6200
TXN-00490,V-0042,INV-63907,1059.1,2025-09-05,2025-10-18,2025-09-05T15:07:00,U-12,U-01,junior,6200
TXN-00091,V-0056,INV-26591,334.13,2025-06-04,2025-07-06,2025-06-04T08:45:00,U-08,U-13,senior,6200
TXN-01124,V-0034,INV-87110,1235.61,2025-07-16,2025-08-20,2025-07-16T15:19:00,U-14,U-13,senior,6300
TXN-01912,V-0036,INV-90354,6679.96,2025-08-06,2025-08-27,2025-08-06T18:42:00,U-09,U-12,director,7200
TXN-00063,V-0041,INV-30861,718.42,2026-03-02,2026-04-14,2026-03-02T16:28:00,U-15,U-18,senior,7100
TXN-02180,V-0002,INV-45169,6552.95,2025-04-01,2025-04-27,2025-04-01T13:54:00,U-06,U-10,senior,7200
TXN-02469,V-0040,INV-83966,8355.14,2025-07-04,2025-07-30,2025-07-04T11:27:00,U-09,U-13,senior,6200
TXN-00438,V-0011,INV-82358,17833.34,2025-02-14,2025-03-13,2025-02-14T14:35:00,U-09,U-13,senior,6100
TXN-00574,V-0008,INV-54359,10431.05,2025-04-20,2025-05-30,2025-04-20T16:25:00,U-15,U-08,senior,6100
TXN-02576,V-0010,INV-90608,6127.68,2025-10-18,2025-11-17,2025-10-18T09:05:00,U-17,U-18,senior,6200
TXN-01593,V-0015,INV-56140,47613.66,2025-03-23,2025-04-20,2025-03-23T14:35:00,U-19,U-12,director,6200
TXN-02101,V-0043,INV-15139,6792.27,2025-07-27,2025-08-18,2025-07-27T18:20:00,U-16,U-09,manager,6200
TXN-02327,V-0009,INV-46822,11521.19,2025-01-15,2025-02-04,2025-01-15T09:05:00,U-20,U-05,manager,7100
TXN-00529,V-0037,INV-36945,104.66,2025-12-17,2026-01-04,2025-12-17T14:53:00,U-03,U-08,senior,6200
TXN-00111,V-0059,INV-50730,7665.77,2026-02-14,2026-03-06,2026-02-14T11:45:00,U-04,U-05,manager,7200
TXN-02420,V-0055,INV-15778,3003.87,2026-01-03,2026-01-26,2026-01-03T15:30:00,U-03,U-19,junior,7100
TXN-01875,V-0017,INV-76127,5353.13,2026-01-02,2026-02-11,2026-01-02T08:57:00,U-15,U-08,senior,6200
TXN-00118,V-0057,INV-95461,12392.85,2025-12-28,2026-02-02,2025-12-28T14:24:00,U-02,U-12,director,7100
TXN-02289,V-0020,INV-61393,13681.56,2025-09-16,2025-10-24,2025-09-16T10:29:00,U-20,U-13,senior,7200
TXN-00300,V-0032,INV-63914,1016.85,2025-01-09,2025-02-10,2025-01-09T08:34:00,U-20,U-16,junior,7100
TXN-02112,V-0009,INV-54235,2526.98,2025-11-19,2025-12-29,2025-11-19T08:49:00,U-14,U-02,junior,6300
TXN-00809,V-0014,INV-71018,806.42,2025-05-24,2025-07-05,2025-05-24T10:07:00,U-02,U-20,senior,6100
TXN-00072,V-0039,INV-44099,6157.67,2025-03-11,2025-03-27,2025-03-11T15:11:00,U-03,U-20,senior,7100
TXN-01743,V-0033,INV-79119,15438.84,2025-02-16,2025-03-13,2025-02-16T18:41:00,U-19,U-05,manager,7200
TXN-01921,V-0009,INV-24605,13050.99,2025-12-05,2025-12-20,2025-12-05T17:03:00,U-14,U-09,manager,6100
TXN-00060,V-0018,INV-60328,45249.5,2025-08-01,2025-08-22,2025-08-01T18:36:00,U-20,U-05,manager,7100
TXN-01586,V-0005,INV-80969,4468.0,2025-08-04,2025-08-29,2025-08-04T18:38:00,U-20,U-15,manager,7200
TXN-02246,V-0001,INV-86475,14915.86,2025-11-02,2025-12-11,2025-11-02T13:08:00,U-07,U-20,senior,7200
TXN-02720,V-0021,INV-60780,9705.12,2026-03-10,2026-04-19,2026-03-10T14:45:00,U-09,U-15,manager,6200
TXN-00775,V-0019,INV-97500,623.78,2026-01-29,2026-03-13,2026-01-29T14:44:00,U-03,U-16,junior,6300
TXN-00713,V-0050,INV-93558,19449.79,2025-01-24,2025-02-25,2025-01-24T13:22:00,U-20,U-13,senior,7100
TXN-02736,V-0016,INV-86907,3264.1,2025-06-07,2025-07-13,2025-06-07T11:21:00,U-04,U-15,manager,6100
TXN-02601,V-0010,INV-56998,5180.78,2025-05-19,2025-06-11,2025-05-19T16:53:00,U-19,U-08,senior,6200
TXN-01033,V-0030,INV-57378,19004.33,2025-12-15,2026-01-14,2025-12-15T16:29:00,U-14,U-10,senior,6100
TXN-01140,V-0051,INV-99372,521.77,2025-11-06,2025-12-02,2025-11-06T14:21:00,U-16,U-17,manager,6300
TXN-01851,V-0054,INV-98369,194.12,2026-01-12,2026-02-18,2026-01-12T12:53:00,U-07,U-08,senior,7200
TXN-01086,V-0033,INV-70156,268.25,2025-04-14,2025-05-20,2025-04-14T16:45:00,U-19,U-10,senior,7200
